Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Actinobacteria|Rubrobacteria|Rubrobacterales	2	15	6	6	1	6	13	9	4	6	4	15	10	5	7	8	14	6
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales	112	145	75	108	85	141	194	170	111	120	143	196	129	83	111	87	129	104
Bacteria|Actinobacteria|Thermoleophilia|Thermoleophilales	8	14	14	22	13	18	21	23	14	12	17	19	16	13	13	12	12	15
Bacteria|Actinobacteria|Thermoleophilia|Unassigned	9	18	13	11	6	10	14	22	9	30	16	12	17	16	16	11	16	13
Bacteria|Actinobacteria|Unassigned|Unassigned	14	28	7	16	2	33	15	34	23	10	16	19	23	10	28	14	11	17
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales	18	9	8	10	6	9	61	36	57	48	35	28	44	64	41	45	31	21
Bacteria|Bacteroidetes|Cytophagia|Cytophagales	116	78	34	40	53	20	168	100	157	253	122	89	144	140	169	171	79	112
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	176	214	923	314	579	226	169	759	739	541	237	222	453	528	323	229	453	523
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	14	7	8	14	22	3	6	7	13	11	11	12	13	31	10	8	17	18
Bacteria|Bacteroidetes|Unassigned|Unassigned	2	2	0	2	0	5	1	1	0	7	0	0	0	0	1	0	0	3
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales	2	1	0	0	1	3	5	2	4	8	1	0	0	1	10	1	0	7
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales	42	56	22	41	38	18	39	72	52	43	37	46	68	38	48	49	25	53
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales	98	133	41	100	147	75	83	190	61	103	161	109	376	57	106	111	168	152
Bacteria|Chloroflexi|Chloroflexia|Unassigned	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	28	2	0
Bacteria|Firmicutes|Bacilli|Bacillales	162	170	161	425	78	193	561	293	265	316	199	511	90	70	121	104	68	114
Bacteria|Firmicutes|Bacilli|Lactobacillales	4	2	11	2	2	10	6	2	1	7	0	6	1	0	6	0	2	2
Bacteria|Firmicutes|Bacilli|Unassigned	49	108	46	37	69	55	52	53	21	47	38	44	46	17	33	18	48	36
Bacteria|Firmicutes|Clostridia|Clostridiales	0	52	7	4	24	6	8	14	11	4	15	9	1	7	9	2	19	28
Bacteria|Firmicutes|Clostridia|Unassigned	2	3	1	2	0	0	5	2	0	2	0	4	1	0	0	13	0	2
Bacteria|Firmicutes|Unassigned|Unassigned	1	1	4	2	1	7	0	0	1	2	3	3	0	1	0	2	0	1
Bacteria|Gemmatimonadetes|Gemmatimonadetes|Gemmatimonadales	16	21	13	14	7	13	22	21	17	14	17	16	9	15	13	17	12	20
Bacteria|Nitrospirae|Nitrospira|Nitrospirales	5	7	5	8	3	9	16	11	13	8	13	18	12	10	14	41	15	20
Bacteria|Planctomycetes|Phycisphaerae|Phycisphaerales	4	5	0	2	0	1	4	1	0	0	2	5	2	1	1	4	1	3
Bacteria|Planctomycetes|Planctomycetacia|Pirellulales	2	20	11	3	0	5	43	63	28	11	22	37	18	16	20	15	11	6
Bacteria|Planctomycetes|Planctomycetacia|Planctomycetales	2	2	3	3	1	3	11	6	3	8	6	5	4	3	6	1	3	4
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	225	235	250	209	263	363	212	161	122	194	216	175	240	211	171	204	205	196
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	1324	1392	1996	1712	2037	1739	1426	1204	926	1155	1418	1311	1040	1190	1209	1222	1329	1318
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	106	132	105	77	54	93	205	119	129	112	122	149	110	111	137	143	74	106
Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsiales	0	2	0	0	4	3	1	3	0	0	1	3	0	3	4	2	0	2
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales	14	9	11	8	13	13	18	13	12	9	15	17	22	14	13	40	17	19
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	227	248	459	392	500	363	217	199	149	184	232	222	142	222	177	266	260	206
Bacteria|Proteobacteria|Alphaproteobacteria|Unassigned	59	65	30	124	68	57	63	50	46	62	71	66	56	77	96	48	52	54
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	3820	2699	3832	4186	5716	4321	2381	1991	2963	3049	2971	2405	3383	4377	3043	3309	3566	3183
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	1	1	0	1	2	4	3	2	2	0	3	2	2	5	2	0	1	1
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales	28	51	26	24	61	69	24	39	35	34	35	23	41	49	71	39	36	39
Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales	10	14	5	7	8	19	22	10	16	11	14	17	12	11	13	14	6	7
Bacteria|Proteobacteria|Betaproteobacteria|Unassigned	6	13	7	12	6	6	15	12	7	7	6	16	6	7	14	12	6	21
Bacteria|Proteobacteria|Deltaproteobacteria|Deltaproteobacteria_incertae_sedis	4	4	1	2	7	3	0	0	0	1	1	0	0	1	0	0	0	2
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	8	7	3	8	1	5	7	5	4	5	6	6	4	9	7	6	1	3
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales	66	57	67	60	57	47	79	61	55	52	77	83	59	63	71	59	69	73
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales	349	254	279	278	174	369	361	241	322	338	312	329	292	277	354	292	268	336
Bacteria|Proteobacteria|Deltaproteobacteria|Unassigned	94	106	41	46	55	99	106	93	71	91	97	90	53	61	108	53	63	102
Bacteria|Proteobacteria|Gammaproteobacteria|Acidiferrobacterales	2	2	1	0	0	0	3	6	1	4	4	2	0	1	5	7	0	2
Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales	19	7	15	16	34	17	15	7	23	25	16	11	33	30	15	19	24	18
Bacteria|Proteobacteria|Gammaproteobacteria|Cellvibrionales	13	3	7	6	5	3	12	30	69	42	5	4	34	10	8	5	4	10
Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales	49	49	38	26	18	29	56	34	44	30	39	53	38	24	46	40	32	40
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0	0	1	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Gammaproteobacteria_incertae_sedis	222	206	197	179	188	193	328	203	223	220	284	299	202	228	343	283	237	325
Bacteria|Proteobacteria|Gammaproteobacteria|Nevskiales	147	145	125	150	63	136	210	145	179	135	175	182	126	166	178	175	166	220
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	41	33	32	39	174	40	93	244	46	248	145	221	25	28	58	34	120	74
Bacteria|Proteobacteria|Gammaproteobacteria|Unassigned	39	66	83	32	49	37	82	65	41	59	66	48	44	84	53	72	54	77
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	243	200	319	388	403	384	212	203	249	231	392	271	237	321	302	334	298	336
Bacteria|Proteobacteria|Unassigned|Unassigned	158	181	91	102	94	113	197	148	162	133	167	158	204	136	181	168	146	208
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	6	3	9	9	13	4	9	9	11	16	14	9	5	20	12	17	6	22
Bacteria|Unassigned|Unassigned|Unassigned	41	58	23	32	32	36	58	50	50	43	54	58	70	34	38	35	45	35
Bacteria|Verrucomicrobia|Opitutae|Opitutales	1	1	2	2	3	3	3	3	11	9	17	24	15	10	16	9	7	6
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	10	4	11	1	5	8	19	9	21	8	21	19	10	10	12	15	6	8
