ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
ASV_1039,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Umezawaea,Umezawaea_tangerina,10.3333333333333,ASV_1039
ASV_1156,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium,Unassigned,26.3333333333333,ASV_1156
ASV_117,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,Unassigned,39.5,ASV_117
ASV_129,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium_alvei,47.3333333333333,ASV_129
ASV_1348,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Unassigned,9.66666666666667,ASV_1348
ASV_143,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Unassigned,Unassigned,43.1666666666667,ASV_143
ASV_155,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,Unassigned,29.3333333333333,ASV_155
ASV_18,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Lentzea,Lentzea_flaviverrucosa,375.5,ASV_18
ASV_205,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Unassigned,Unassigned,Unassigned,27.6666666666667,ASV_205
ASV_225,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,Peredibacter_starrii,29.6666666666667,ASV_225
ASV_228,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Unassigned,26,ASV_228
ASV_236,Bacteria,Actinobacteria,Actinobacteria,Gaiellales,Gaiellaceae,Gaiella,Gaiella_occulta,22.5,ASV_236
ASV_243,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Lentzea,Lentzea_jiangxiensis,34.3333333333333,ASV_243
ASV_272,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Unassigned,Chryseolinea,Chryseolinea_serpens,21.5,ASV_272
ASV_281,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,17.6666666666667,ASV_281
ASV_284,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,Nocardioides_albus,15.1666666666667,ASV_284
ASV_307,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Aeromicrobium,Aeromicrobium_panaciterrae,13.1666666666667,ASV_307
ASV_325,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unassigned,Unassigned,Unassigned,16.6666666666667,ASV_325
ASV_329,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Unassigned,Ohtaekwangia,Unassigned,20.1666666666667,ASV_329
ASV_338,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Paraherbaspirillum,Paraherbaspirillum_soli,11.5,ASV_338
ASV_348,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Unassigned,Unassigned,Unassigned,19.1666666666667,ASV_348
ASV_350,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,Pelomonas_puraquae,25.6666666666667,ASV_350
ASV_379,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Unassigned,Unassigned,12.5,ASV_379
ASV_388,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia_kunmingensis,13.5,ASV_388
ASV_392,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Unassigned,Unassigned,Unassigned,15.3333333333333,ASV_392
ASV_40,Bacteria,Chloroflexi,Chloroflexia,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon,Unassigned,240.166666666667,ASV_40
ASV_407,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Unassigned,17.5,ASV_407
ASV_412,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Unassigned,13.6666666666667,ASV_412
ASV_430,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unassigned,Unassigned,Unassigned,12.1666666666667,ASV_430
ASV_433,Bacteria,Proteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,14.8333333333333,ASV_433
ASV_459,Bacteria,Acidobacteria,Acidobacteria_Gp10,Unassigned,Unassigned,Gp10,Unassigned,26.1666666666667,ASV_459
ASV_484,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned,22.5,ASV_484
ASV_533,Bacteria,Proteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,20.8333333333333,ASV_533
ASV_710,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unassigned,Unassigned,13.5,ASV_710
ASV_723,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,15,ASV_723
ASV_77,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Steroidobacter,Steroidobacter_denitrificans,105.333333333333,ASV_77
ASV_802,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Unassigned,Unassigned,14.3333333333333,ASV_802
ASV_87,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,Unassigned,58.5,ASV_87
ASV_927,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Unassigned,Reyranella,Unassigned,11.5,ASV_927
