"","Chloroflexaceae","Bifidobacteriaceae","Family_XII","Halothiobacillaceae","Sutterellaceae","Thermoanaerobacteraceae","Eubacteriaceae","Piscirickettsiaceae","Oscillochloridaceae","Deferribacteraceae","Dermabacteraceae","Saccharospirillaceae","Pseudoalteromonadaceae","Heliobacteriaceae","Oligoflexaceae","Catenulisporaceae","Desulfuromonadaceae","Peptoniphilaceae","Leuconostocaceae","Thermoleophilaceae","Deinococcaceae","Propionibacteriaceae","Ruaniaceae","Tsukamurellaceae","Gallionellaceae","Rikenellaceae","Vibrionaceae","Clostridiaceae_2","Oleiphilaceae","Peptococcaceae_2","Dermacoccaceae","Campylobacteraceae","Enterococcaceae","Tepidisphaeraceae","Aeromonadaceae","Fibrobacteraceae","Peptostreptococcaceae","Dietziaceae","Demequinaceae","Brucellaceae"
"sample1",0,0,0,0,0,0,0,0,0,0,2.51026699199727e-05,0,0,0,0,0,1.50616019519836e-05,3.01232039039672e-05,1.00410679679891e-05,0,1.00410679679891e-05,0,0,0,0,1.50616019519836e-05,0,1.00410679679891e-05,0,0,1.00410679679891e-05,5.02053398399454e-06,0,0,5.52258738239399e-05,0,0,9.03696117119017e-05,1.50616019519836e-05,0
"sample10",0,0,6.11519810184251e-06,0,0,0,0,0,0,0,0,0,0,0,0,6.11519810184251e-05,0,0,0,0,0,0,0,0,6.11519810184251e-06,0,6.11519810184251e-06,2.446079240737e-05,0,0,0,0,0,0,6.11519810184251e-05,6.11519810184251e-05,0,1.2230396203685e-05,0,0
"sample11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84820677737425e-05,0,0,0,0,2.31025847171782e-05,0,4.62051694343563e-06,0,0,9.24103388687126e-06,0,0,0,0,0,2.31025847171782e-05,6.93077541515345e-05,6.46872372080988e-05,0,0,0,0,3.23436186040494e-05
"sample12",0,4.89768731205125e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93861238723075e-05,0,0,4.89768731205125e-06,0,0,4.89768731205125e-06,0,0,0,0,0,3.918149849641e-05,0,4.89768731205125e-06,3.42838111843587e-05,9.7953746241025e-06,0,4.89768731205125e-06,3.42838111843587e-05
"sample13",0,0,0,0,0,0,0,0,2.8344537299049e-05,0,0,0,0,0,0,4.72408954984151e-06,5.19649850482566e-05,0,0,1.41722686495245e-05,0,0,0,0,0,4.72408954984151e-06,0,0,0,0,0,0,0,4.25168059485736e-05,0,3.77927163987321e-05,1.41722686495245e-05,4.25168059485736e-05,0,1.41722686495245e-05
"sample14",1.88611629793093e-05,0,0,0,0,0,0,0,6.28705432643643e-06,0,0,6.28705432643643e-06,0,1.25741086528729e-05,0,2.51482173057457e-05,7.54446519172372e-05,0,0,0,0,0,1.25741086528729e-05,0,0,0,0,0,0,0,6.28705432643643e-06,0,6.28705432643643e-06,0,1.88611629793093e-05,0,0,1.25741086528729e-05,6.28705432643643e-06,0
"sample15",0,0,0,0,0,0,0,0,5.47873156406829e-06,5.47873156406829e-06,5.47873156406829e-06,5.47873156406829e-06,5.47873156406829e-06,0,0,0,6.02660472047512e-05,0,0,0,0,0,1.64361946922049e-05,0,5.47873156406829e-06,1.09574631281366e-05,0,0,0,1.64361946922049e-05,0,0,6.02660472047512e-05,0,4.93085840766146e-05,0,1.64361946922049e-05,1.64361946922049e-05,0,0
"sample16",0,0,0,0,0,0,0,0,1.90304614252547e-05,0,0,0,0,0,0,3.17174357087578e-05,9.51523071262735e-05,0,0,0,0,6.34348714175156e-06,0,0,0,0,0,6.34348714175156e-06,0,1.26869742835031e-05,0,0,0,0,6.34348714175156e-06,0,6.34348714175156e-06,0,0,0
"sample17",0,0,0,4.94562287647318e-06,0,0,0,0,0,0,9.89124575294635e-06,0,0,0,4.45106058882586e-05,1.97824915058927e-05,1.97824915058927e-05,0,4.94562287647318e-06,1.48368686294195e-05,0,0,1.97824915058927e-05,0,4.94562287647318e-06,0,0,0,0,1.97824915058927e-05,0,0,0,0,0,3.46193601353122e-05,4.94562287647318e-06,9.89124575294635e-06,9.89124575294635e-06,9.89124575294635e-06
"sample18",0,0,0,0,0,0,0,0,4.75529264070911e-06,0,0,0,0,0,0,0,3.80423411256729e-05,0,0,0,0,0,0,0,0,0,4.75529264070911e-06,0,0,4.2797633766382e-05,1.42658779221273e-05,0,4.75529264070911e-06,3.80423411256729e-05,4.75529264070911e-05,1.42658779221273e-05,9.51058528141822e-06,0,0,4.75529264070911e-06
